"id","code","cnword"
"455","21434","厺"
"456","21435","去"
"457","21436","厼"
"458","21455","叏"
"459","21456","叐"
"460","21457","发"
"461","21476","古"
"462","21477","句"
"463","21478","另"
"464","21479","叧"
"465","21480","叨"
"466","21481","叩"
"467","21482","只"
"468","21483","叫"
"469","21484","召"
"470","21485","叭"
"471","21486","叮"
"472","21487","可"
"473","21488","台"
"474","21489","叱"
"475","21490","史"
"476","21491","右"
"477","21492","叴"
"478","21493","叵"
"479","21494","叶"
"480","21495","号"
"481","21496","司"
"482","21497","叹"
"483","21498","叺"
"484","21499","叻"
"485","21500","叼"
"486","21501","叽"
"487","21502","叾"
"488","22233","囙"
"489","22234","囚"
"490","22235","四"
"491","22236","囜"
"492","22306","圢"
"493","22307","圣"
"494","22308","圤"
"495","22309","圥"
"496","22310","圦"
"497","22311","圧"
"498","22765","壭"
"499","22787","夃"
"500","22788","处"
"501","22806","外"
"502","22808","夘"
"503","22830","央"
"504","22831","夯"
"505","22832","夰"
"506","22833","失"
"507","22834","夲"
"508","22835","夳"
"509","22836","头"
"510","22900","奴"
"511","22901","奵"
"512","22902","奶"
"513","23381","孕"
"514","23425","宁"
"515","23426","宂"
"516","23427","它"
"517","23428","宄"
"518","23545","对"
"519","23570","尒"
"520","23571","尓"
"521","23572","尔"
"522","23573","尕"
"523","23611","尻"
"524","23612","尼"
"525","23667","屳"
"526","23668","屴"
"527","23669","屵"
"528","23670","屶"
"529","23671","屷"
"530","24038","左"
"531","24039","巧"
"532","24040","巨"
"533","24042","巪"
"534","24066","市"
"535","24067","布"
"536","24068","帄"
"537","24069","帅"
"538","24179","平"
"539","24188","幼"
"540","24192","庀"
"541","24193","庁"
"542","24194","庂"
"543","24195","広"
"544","24309","廵"
"545","24321","弁"
"546","24333","弍"
"547","24343","弗"
"548","24344","弘"
"549","24402","归"
"550","24517","必"
"551","24519","忇"
"552","24521","忉"
"553","24522","忊"
"554","25097","戉"
"555","25098","戊"
"556","25099","戋"
"557","25145","戹"
"558","25167","扏"
"559","25168","扐"
"560","25169","扑"
"561","25170","扒"
"562","25171","打"
"563","25172","扔"
"564","25173","払"
"565","25174","扖"
"566","26021","斥"
"567","26086","旦"
"568","26087","旧"
"569","26353","曱"
"570","26410","未"
"571","26411","末"
"572","26412","本"
"573","26413","札"
"574","26414","朮"
"575","26415","术"
"576","26416","朰"
"577","27491","正"
"578","27597","母"
"579","27664","氐"
"580","27665","民"
"581","27669","氕"
"582","27702","氶"
"583","27703","氷"
"584","27704","永"
"585","27705","氹"
"586","27706","氺"
"587","27707","氻"
"588","27710","氾"
"589","27711","氿"
"590","27712","汀"
"591","27713","汁"
"592","27715","汃"
"593","27716","汄"
"594","27717","汅"
"595","27719","汇"
"596","27720","汈"
"597","27721","汉"
"598","28781","灭"
"599","29358","犮"
"600","29359","犯"
"601","29360","犰"
"602","29572","玄"
"603","29577","玉"
"604","29578","玊"
"605","29580","玌"
"606","29581","玍"
"607","29916","瓜"
"608","29976","甘"
"609","29983","生"
"610","29992","用"
"611","29993","甩"
"612","30000","田"
"613","30001","由"
"614","30002","甲"
"615","30003","申"
"616","30004","甴"
"617","30005","电"
"618","30091","疋"
"619","30098","疒"
"620","30326","癶"
"621","30333","白"
"622","30382","皮"
"623","30399","皿"
"624","30446","目"
"625","30683","矛"
"626","30690","矢"
"627","30707","石"
"628","31034","示"
"629","31036","礼"
"630","31166","禾"
"631","31348","穴"
"632","31435","立"
"633","32416","纠"
